Unnamed: 0,question,query,schema
65575,What is the most reviewed item?,SELECT * FROM item WHERE i_id IN (SELECT i_id FROM review GROUP BY i_id ORDER BY COUNT(*) DESC LIMIT 1),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65576,What are the top 5 users with the most reviews?,SELECT * FROM useracct WHERE u_id IN (SELECT u_id FROM review GROUP BY u_id ORDER BY COUNT(*) DESC LIMIT 5),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65578,What is the sum of all ratings?,SELECT SUM(rating) FROM review,"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65579,What are the top 3 most trustworthy users?,SELECT * FROM useracct WHERE u_id IN (SELECT target_u_id FROM trust GROUP BY target_u_id ORDER BY AVG(trust) DESC LIMIT 3),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65580,For which items do we have the most reviews?,SELECT * FROM item WHERE i_id IN (SELECT i_id FROM review GROUP BY i_id ORDER BY COUNT(*) DESC),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65581,What are the top 5 items with the highest average rating?,SELECT * FROM item WHERE i_id IN (SELECT i_id FROM review GROUP BY i_id ORDER BY AVG(rating) DESC LIMIT 5),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65582,What are the top 3 most reviewed users?,SELECT * FROM useracct WHERE u_id IN (SELECT u_id FROM review GROUP BY u_id ORDER BY COUNT(*) DESC LIMIT 3),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65583,What is the total number of reviews with a rating above 4?,SELECT COUNT(*) FROM review WHERE rating > 4,"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65584,What are the top 5 trusted users?,SELECT * FROM useracct WHERE u_id IN (SELECT target_u_id FROM trust ORDER BY trust DESC LIMIT 5),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
65587,What are the top 3 most reviewed items?,SELECT * FROM item WHERE i_id IN (SELECT i_id FROM review GROUP BY i_id ORDER BY COUNT(*) DESC LIMIT 3),"
CREATE TABLE item (
	i_id INTEGER, 
	title TEXT
)


CREATE TABLE review (
	a_id INTEGER, 
	u_id INTEGER, 
	i_id INTEGER, 
	rating INTEGER, 
	rank INTEGER
)


CREATE TABLE trust (
	source_u_id INTEGER, 
	target_u_id INTEGER, 
	trust INTEGER
)


CREATE TABLE useracct (
	u_id INTEGER, 
	name TEXT
)"
